cpd	value
Cer(d18:0/18:0(2OH))	0.40520236
Cer(d18:0/18:0)	1
Cer(d18:0/18:1)	0.045278541
Cer(d18:1/24:0(2OH))	0.106337236
Cer(d18:1/24:0)	0.144174858
Cer(d20:0/24:0)	0.071043682
CL(16:0/18:1/18:1/18:1)	0.31359466
CL(16:0/18:1/18:1/18:2)	0.734164566
CL(16:0/18:1/18:2/18:2)	1
CL(16:0/18:2/18:2/18:2)	0.594320662
CL(18:1/18:1/18:1/18:3)	0.238324512
CL(18:1/18:2/18:2/18:2)	0.352308096
DG(15:0/18:1/0:0)	0.012087937
DG(15:0/18:2/0:0)	0.008764121
DG(16:0/16:1/0:0)	0.024067768
DG(16:0/18:0/0:0)	0.021768226
DG(16:0/18:1/0:0)	0.690789474
DG(16:0/18:2/0:0)	0.822368421
DG(16:1/18:1/0:0)	0.822368421
DG(17:0/18:1/0:0)	0.011619781
DG(17:0/18:2/0:0)	0.012020278
DG(17:1/18:2/0:0)	0.012410059
DG(18:0/18:1/0:0)	0.207052596
DG(18:0/18:2/0:0)	0.759868421
DG(18:1/18:2/0:0)	1
DG(18:1/18:3/0:0)	0.567982456
DG(18:1/20:1/0:0)	0.027195204
DG(18:2/20:1/0:0)	0.038669404
DG(18:2/20:2/0:0)	0.010914636
GalCer(d19:2/18:1)	1
PA(16:0/18:1)	1
PA(16:0/18:2)	0.808542658
PA(16:1/18:2)	0.038685704
PA(18:1/18:1)	0.3425494
PA(18:1/18:2)	0.430458687
PA(18:2/18:2)	0.170148014
PC(0:0/16:0)	0.904837734
PC(0:0/18:0)	0.181622789
PC(0:0/18:1)	1
PC(14:0/16:1)	0.001116693
PC(14:0/18:1)	0.096218322
PC(14:0/18:2)	0.033341452
PC(14:1/18:1)	0.012076732
PC(14:1/18:1)	0.00144522
PC(14:1/18:2)	0.001769633
PC(15:0/16:1)	0.001587878
PC(15:0/18:1)	0.027865639
PC(15:0/18:2)	0.033487023
PC(16:0/16:0)	0.011056611
PC(16:0/18:0)	0.011745278
PC(16:0/18:1)	0.951402325
PC(16:0/18:2)	1
PC(16:0/18:3)	0.161289517
PC(16:0/20:1)	0.313836569
PC(16:0/22:0)	0.001332998
PC(16:1/0:0)	0.065502749
PC(16:1/17:2)	0.000848577
PC(16:1/18:3)	0.003014868
PC(16:2/16:1)	0.002586409
PC(16:2/18:2)	0.023780798
PC(16:2/2:0)	0.001306121
PC(17:0/18:1)	0.041252148
PC(17:0/18:2)	0.040485178
PC(17:1/18:2)	0.037485772
PC(17:2/18:2)	0.019193424
PC(18:0/18:0)	0.00364644
PC(18:0/18:2)	0.911766484
PC(18:1/18:2)	0.91425196
PC(18:1/19:0)	0.002420196
PC(18:1/19:1)	0.006273551
PC(18:1/20:0)	0.026107578
