#depth	label	shape	x1	y1	x2	y2	width	height	Label position	Justification	arrow	start	end	fill	color
0	Fatty Acid	r	66	77	1666	607			TL	L				fffbbe	fffbbe
0	Glycerolipids	r	66	672	855	1220			TL	L				e6d4f5	e6d4f5
0	Glycerolipids	r	66	1221	475	2126								e6d4f5	e6d4f5
0	Glycerophospholipids	r	856	672	1665	2396			T	C				d4f5f0	d4f5f0
0	Glycerophospholipids	r	476	1221	1664	2396								d4f5f0	d4f5f0
0	Glycerophospholipids	r	66	2127	475	2396								d4f5f0	d4f5f0
0	Sphingolipids	r	1718	1234	2296	2396			TL	L				ffd6b7	ffd6b7
0	Sterols	r	1718	78	1944	1166			TL	L				e5ffba	e5ffba
0	Sterols	r	1945	662	2296	1166								e5ffba	e5ffba
0	Proteomics Key	r	1974	78	2296	320								ltgray	
0	Lipidomics Key	r	1974	350	2296	632								ltgray	
1	ACoA-a	a	974	608			72	24				180	270		black
1	Acyl-CoA-a	a	412	2198			40	62				90	180		black
1	Acyl-CoA-a	a	448	768			72	60				0	90		black
1	Acyl-CoA-a	a	1234	2224			52	66				0	90		black
1	Acyl-CoA-a	a	1512	1982			72	48				90	180		black
1	Acyl-CoA-a	a	1905	2314			76	44				0	90		black
1	Acyl-CoA-a	a	2012	1864			74	32				90	180		black
1	CTP-a	a	997	918			72	16				270	360		black
1	FFA-a	a	412	2289			40	62				180	270		black
1	FFA-a	a	1874	1864			74	32				0	90		black
1	G3P-1-Sct1-1-a	a	336	426			76	62				90	180		black
1	G3P-2-Sct1-2-a	a	528	401			76	62				90	180		black
1	G3P-3-Sct1-3-a	a	718	376			74	62				90	180		black
1	G3P-4-Sct1-4-a	a	909	351			64	62				90	180		black
1	G3P-a	a	1210	930			72	38				90	180		black
1	Ino-a	a	1282	1398			72	52				180	270		black
1	mACP-a	a	1460	142			150	100				0	135		black
1	Ser-a	a	997	1003			72	28				270	360		black
1	3kaACP-3OHaACP	l	1435	206	1366	142									black
1	3kaCoA-3OHaCoA	l	859	206	789	142									black
1	3OHaACP-EaACP	l	1342	142	1272	206									black
1	3OHaCoA-EaCoA	l	765	142	693	206									black
1	AACP-3kaACP	l	1435	230	1366	294									black
1	aACP-line	l	1342	306	1230	306									black
1	Ale1-l	l	1058	1371	1058	1298									black
1	C14C26CoA-3kaCoA	l	789	294	859	230									black
1	Cer-CerOH	l	1848	1692	1848	1564									black
1	CerOH-PI Cer	l	1945	1482	1945	1437									black
1	CL-MLCL-1	l	1414	1305	1414	1371									black
1	CL-MLCL-2	l	1414	1371	1439	1371									black
1	Cpt1-l	l	631	1180	631	1265									black
1	Dag1-l	l	416	798	506	798									black
1	DAG-CL-1	l	1047	971	1276	971									black
1	DAG-CL-2	l	1276	971	1276	1214									black
1	DAG-CL-3	l	1276	1214	1294	1214									black
1	DAG-PG-1	l	1046	963	1174	963									black
1	DAG-PG-2	l	1174	963	1174	866									black
1	DAG-PG-3	l	1174	866	1294	866									black
1	DAG-PI 1	l	1047	979	1247	979									black
1	DAG-PI-2	l	1247	979	1247	1434									black
1	DAG-PI-3	l	1247	1434	1294	1434									black
1	DG-PA-l	l	817	837	901	837									black
1	DG-PC-l	l	631	1182	631	1265									black
1	DG-PE-l-1	l	817	1127	853	1127									black
1	DG-PE-l-2	l	853	1127	853	1751									black
1	DG-PE-l-3	l	853	1751	901	1751									black
1	EaACP-AACP	l	1272	230	1342	294									black
1	EaCoA-C14C26CoA	l	693	230	765	294									black
1	line 2-1	l	203	307	973	307									black
1	line 2-2	l	1342	307	1210	307									black
1	line 3-1	l	394	119	394	432									black
1	line 3-2	l	394	432	934	432									black
1	line 3-3	l	934	432	934	556									black
1	line 4-1	l	585	119	585	407									black
1	line 4-2	l	585	407	942	407									black
1	line 4-3	l	942	407	942	556									black
1	line 5-1	l	777	307	777	382									black
1	line 5-2	l	777	382	949	382									black
1	line 5-3	l	949	382	949	556									black
1	line 6	l	1782	130	1549	130									black
1	line1-1	l	203	119	203	457									black
1	line1-2	l	203	457	926	457					N				black
1	line1-3	l	926	457	926	557									black
1	LPA-PA	l	938	582	938	716									black
1	LPC-PC-l	l	368	2229	506	2229									black
1	LPE-PE-l	l	1293	2257	1163	2257									black
1	LPG-PG	l	1469	974	1469	903									black
1	LPI-PI	l	1475	2026	1475	1910									black
1	MLCL-CL-1	l	1463	1371	1490	1371									black
1	MLCL-CL-2	l	1490	1371	1490	1305									black
1	PA-DG-l	l	817	798	901	798									black
1	PA-PS-l	l	1033	904	1033	1037									black
1	PC-DG-l	l	680	1265	680	1182									black
1	PC-LPC-l	l	506	2258	368	2258									black
1	PE-DG-l-1	l	901	1777	839	1777									black
1	PE-DG-l-2	l	839	1777	839	1153									black
